# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.37    0.00    0.00       0     0.31    0.00    0.00       0
           0             0     float     sum      -1     0.26    0.00    0.00       0     0.25    0.00    0.00       0
           4             1     float     sum      -1    41.60    0.00    0.00       0    39.92    0.00    0.00       0
           8             2     float     sum      -1    40.88    0.00    0.00       0    40.29    0.00    0.00       0
          16             4     float     sum      -1    41.47    0.00    0.00       0    38.76    0.00    0.00       0
          32             8     float     sum      -1    39.34    0.00    0.00       0    40.60    0.00    0.00       0
          64            16     float     sum      -1    45.15    0.00    0.00       0    46.86    0.00    0.00       0
         128            32     float     sum      -1    46.39    0.00    0.01       0    45.73    0.00    0.01       0
         256            64     float     sum      -1    48.97    0.01    0.01       0    49.68    0.01    0.01       0
         512           128     float     sum      -1    51.17    0.01    0.02       0    47.60    0.01    0.02       0
        1024           256     float     sum      -1    50.79    0.02    0.04       0    50.60    0.02    0.04       0
        2048           512     float     sum      -1    54.13    0.04    0.07       0    53.69    0.04    0.08       0
        4096          1024     float     sum      -1    60.51    0.07    0.13       0    58.32    0.07    0.14       0
        8192          2048     float     sum      -1    62.29    0.13    0.26       0    59.88    0.14    0.27       0
       16384          4096     float     sum      -1    67.76    0.24    0.48       0    62.15    0.26    0.52       0
       32768          8192     float     sum      -1    67.65    0.48    0.95       0    64.85    0.51    0.99       0
       65536         16384     float     sum      -1    76.11    0.86    1.70       0    74.54    0.88    1.73       0
      131072         32768     float     sum      -1    98.59    1.33    2.62       0    94.26    1.39    2.74       0
      262144         65536     float     sum      -1    97.53    2.69    5.29       0    96.36    2.72    5.36       0
      524288        131072     float     sum      -1   108.31    4.84    9.53       0   107.38    4.88    9.61    2048
     1048576        262144     float     sum      -1   130.94    8.01   15.77       0   132.56    7.91   15.57    2048
     2097152        524288     float     sum      -1   236.46    8.87   17.46    3008   712.43    2.94    5.80    2048
     4194304       1048576     float     sum      -1   485.74    8.63   17.00    5120   456.70    9.18   18.08    5248
     8388608       2097152     float     sum      -1   646.55   12.97   25.54    2112   648.48   12.94   25.47    5184
    16777216       4194304     float     sum      -1  1511.60   11.10   21.85       0  1138.74   14.73   29.01       0
    33554432       8388608     float     sum      -1  1486.84   22.57   44.43       0  1964.28   17.08   33.63       0
    67108864      16777216     float     sum      -1  20266.9    3.31    6.52       0  26314.9    2.55    5.02       0
   134217728      33554432     float     sum      -1   137465    0.98    1.92       0  92721.4    1.45    2.85       0
# Out of bounds values : 512 FAILED
# Avg bus bandwidth    : 5.86687 
#
# Collective test concluded: all_reduce_perf
#

