# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      45.17
2                      44.81
4                      44.90
8                      44.91
16                     45.04
32                     45.00
64                     44.74
128                    44.75
256                    44.61
512                    44.27
1024                   44.30
2048                   44.42
4096                   44.84
8192                   44.83
16384                  45.34
32768                  45.50
65536                  46.92
131072                 47.82
262144                 51.26
524288                 58.46
1048576                70.62
