# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       7.30
8                       7.12
16                      7.12
32                      7.09
64                      7.16
128                     8.26
256                     9.73
512                     9.93
1024                   10.35
2048                   10.92
4096                   11.95
8192                   20.59
16384                  27.58
32768                  35.91
65536                  41.69
131072                 47.82
262144                 62.36
524288                112.33
1048576               201.32
