# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.48
8                      29.74
16                     29.58
32                     29.46
64                     29.63
128                    30.66
256                    32.32
512                    32.45
1024                   32.82
2048                   34.78
4096                   36.22
8192                   46.51
16384                  53.57
32768                  64.09
65536                  75.30
131072                 88.26
262144                118.86
524288                172.27
1048576               306.42
