# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.22
2                      28.27
4                      28.23
8                      28.19
16                     28.22
32                     28.51
64                     28.67
128                    29.08
256                    30.28
512                    31.36
1024                   32.01
2048                   32.49
4096                   33.10
8192                   38.10
16384                  45.86
32768                  45.50
65536                  52.92
131072                 76.22
262144                103.19
524288                247.07
1048576               299.58
