# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      30.18
2                      29.04
4                      29.00
8                      29.01
16                     29.00
32                     29.28
64                     29.43
128                    31.84
256                    32.06
512                    32.64
1024                   33.80
2048                   34.56
4096                   39.01
8192                   44.41
16384                  50.56
32768                  52.74
65536                  62.82
131072                 90.96
262144                113.08
524288                155.92
1048576               466.11
