# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.20
8                      30.59
16                     30.68
32                     30.36
64                     30.71
128                    31.04
256                    34.66
512                    35.15
1024                   36.83
2048                   38.59
4096                   40.26
8192                   53.14
16384                  54.86
32768                  61.44
65536                  71.28
131072                 90.13
262144                124.93
524288                224.31
1048576               396.30
