# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      56.07
2                      55.43
4                      55.34
8                      55.43
16                     55.54
32                     55.50
64                     55.53
128                    55.78
256                    59.25
512                    59.65
1024                   61.45
2048                   65.68
4096                   67.59
8192                   69.51
16384                  74.04
32768                  83.10
65536                 103.05
131072                121.89
262144                172.26
524288                259.67
1048576               519.06
