# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       7.10
2                       6.97
4                       6.96
8                       6.94
16                      6.94
32                      7.01
64                      6.98
128                     9.55
256                     9.40
512                     9.53
1024                    9.83
2048                   10.21
4096                   13.34
8192                   17.21
16384                  18.93
32768                  21.80
65536                  27.05
131072                 36.98
262144                 56.68
524288                 98.90
1048576               189.15
