# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      34.12
2                      33.29
4                      33.39
8                      33.45
16                     33.45
32                     33.42
64                     33.57
128                    33.70
256                    33.63
512                    33.79
1024                   34.56
2048                   37.39
4096                   37.70
8192                   37.65
16384                  37.89
32768                  39.17
65536                  58.65
131072                 61.25
262144                 67.55
524288                 82.79
1048576               116.63
