# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      14.99
8                      15.16
16                     14.96
32                     15.14
64                     15.26
128                    16.63
256                    25.67
512                    26.21
1024                   28.83
2048                   32.68
4096                   37.42
8192                   72.58
16384                 192.71
32768                 216.69
65536                 388.64
131072                245.09
262144                275.67
524288                314.78
1048576               393.41
