# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      15.75
8                      15.63
16                     15.70
32                     15.84
64                     15.89
128                    17.12
256                    23.02
512                    27.32
1024                   29.76
2048                   32.76
4096                   36.44
8192                   46.08
16384                  65.34
32768                  74.46
65536                  94.86
131072                133.42
262144                214.21
524288                476.49
1048576               795.96
