# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.82
2                       6.43
4                       6.44
8                       6.00
16                      7.38
32                      8.20
64                      8.39
128                     8.80
256                    13.54
512                    17.53
1024                   21.80
2048                   28.26
4096                   38.65
8192                   57.40
16384                  63.25
32768                  75.87
65536                 101.31
131072                153.80
262144                262.13
524288                477.34
1048576               898.63
