
# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      10.79
2                      10.42
4                      10.30
8                      10.76
16                     13.81
32                     15.07
64                     15.35
128                    16.28
256                    17.99
512                    19.77
1024                   22.84
2048                   31.20
4096                   44.23
8192                   60.85
16384                 101.02
32768                 180.07
65536                 323.50
131072                622.26
262144               1233.89
524288               2404.65
1048576              5319.90
