# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      15.75
2                      15.79
4                      15.80
8                      18.83
16                     22.10
32                     22.82
64                     23.61
128                    24.78
256                    27.65
512                    31.91
1024                   42.91
2048                   58.65
4096                   81.47
8192                  130.00
16384                 228.70
32768                1209.73
65536                1307.11
131072               1521.28
262144               1835.56
524288               2469.83
1048576              3846.34

MPICH Slingshot Network Summary: 1 network timeouts

