
# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      11.03
8                      10.82
16                     10.83
32                     10.84
64                     11.10
128                    12.53
256                    19.40
512                    19.71
1024                   22.25
2048                   24.48
4096                   28.18
8192                   59.97
16384                 166.83
32768                 188.90
65536                 202.39
131072                209.58
262144                224.06
524288                269.71
1048576               336.96
