# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      68.73
2                      78.45
4                      79.63
8                      84.97
16                     89.06
32                    116.64
64                    136.09
128                   117.05
256                   190.06
512                   338.98
1024                  342.70
2048                  379.23
4096                  430.09
8192                  571.62
16384                 799.88
32768                1164.07
65536                2620.95
131072               5850.57
262144               9937.41
524288              20232.12
1048576             39585.51
