# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      10.38
2                      10.04
4                       9.92
8                      10.54
16                     13.42
32                     14.83
64                     15.21
128                    16.00
256                    20.99
512                    25.57
1024                   31.76
2048                  121.01
4096                   61.34
8192                   85.05
16384                 101.36
32768                 143.41
65536                 227.91
131072                394.59
262144                730.98
524288               1310.95
1048576              2468.29
