
# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.56
8                       2.68
16                      2.45
32                      2.50
64                      2.59
128                     2.93
256                     3.51
512                     6.51
1024                    8.43
2048                    9.86
4096                   11.23
8192                   15.98
16384                  23.60
32768                  32.43
65536                  48.80
131072                 83.14
262144                150.91
524288                278.24
1048576               560.58
