# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      34.76
2                      33.87
4                      33.58
8                      33.74
16                     33.81
32                     33.65
64                     33.84
128                    33.98
256                    33.91
512                    33.95
1024                   34.57
2048                   37.39
4096                   37.69
8192                   37.74
16384                  38.05
32768                  39.29
65536                  59.15
131072                 61.62
262144                 67.95
524288                 82.85
1048576               116.70
