# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      96.04
2                      94.27
4                      94.31
8                      94.52
16                     94.22
32                     94.20
64                     94.91
128                    96.14
256                    96.79
512                    99.40
1024                  104.96
2048                  116.38
4096                  189.84
8192                  195.15
16384                 371.60
32768                 828.14
65536              118711.74
131072               2907.80
262144               2764.53
524288                839.08
1048576              1017.36
