# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.14
2                      29.57
4                      31.96
8                      34.77
16                     38.16
32                     40.59
64                     42.59
128                    45.24
256                    55.62
512                    70.76
1024                   95.43
2048                  141.30
4096                  231.60
8192                 1004.05
16384                4792.23
32768                5023.48
65536                5402.65
131072               6125.37
262144               7707.87
524288              10589.01
1048576             16460.75
