# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.27
2                      29.19
4                      31.54
8                      41.07
16                     41.25
32                     45.71
64                     46.38
128                    49.51
256                    54.57
512                   101.87
1024                  168.29
2048                  429.53
4096                  151.32
8192                  140.37
16384                 166.33
32768                 251.23
65536                 511.54
131072               1087.51
262144               2248.18
524288               4780.76
1048576              9527.29
