# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      26.40
2                      28.58
4                      30.72
8                      34.66
16                     36.94
32                     40.33
64                     41.53
128                   101.06
256                    58.36
512                    76.78
1024                  104.83
2048                  154.21
4096                  247.98
8192                  973.10
16384                4791.84
32768                5439.73
65536                5879.63
131072               6637.64
262144               8097.98
524288              10819.74
1048576             16427.11
