# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.41
2                      29.68
4                      31.51
8                      41.91
16                     42.17
32                     46.27
64                     47.89
128                    60.73
256                    66.73
512                   104.69
1024                  161.80
2048                  332.73
4096                  172.64
8192                  202.38
16384                 210.78
32768                 221.59
65536                 489.35
131072                978.37
262144               1836.59
524288               3824.49
1048576              7605.16
