# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      15.86
8                      16.06
16                     15.95
32                     15.87
64                     16.51
128                    17.39
256                    27.45
512                    27.92
1024                   30.88
2048                   33.46
4096                   37.65
8192                   71.78
16384                 194.25
32768                 216.51
65536                 232.53
131072                239.67
262144                252.01
524288                291.33
1048576               370.04
