
# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       6.12
8                       6.04
16                      6.24
32                      6.15
64                      6.24
128                     7.49
256                    13.01
512                    11.93
1024                   14.26
2048                   15.88
4096                   19.62
8192                   50.10
16384                 138.80
32768                 158.80
65536                 174.24
131072                176.30
262144                187.10
524288                224.73
1048576               286.42
