# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      11.00
8                      10.79
16                     10.66
32                     10.81
64                     10.83
128                    12.11
256                    15.94
512                    19.73
1024                   21.61
2048                   23.54
4096                   27.04
8192                   35.24
16384                  50.34
32768                  59.90
65536                  79.57
131072                117.34
262144                194.78
524288                358.64
1048576               748.51
