# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      15.62
8                      15.70
16                     15.69
32                     15.68
64                     15.81
128                    17.16
256                    23.19
512                    27.53
1024                   29.93
2048                   33.15
4096                   37.42
8192                   46.42
16384                  65.28
32768                  75.29
65536                  95.50
131072                138.60
262144                213.93
524288                376.60
1048576               795.15
