
# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.36
2                       6.06
4                       5.72
8                       6.10
16                      7.12
32                      8.16
64                      8.43
128                     9.08
256                    10.34
512                    12.01
1024                   13.73
2048                   17.08
4096                   24.53
8192                   35.23
16384                  59.41
32768                 107.52
65536                 200.85
131072                364.34
262144                701.72
524288               1361.58
1048576              2762.92
