
# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      10.76
2                      10.44
4                      10.19
8                      10.76
16                     13.76
32                     15.17
64                     15.25
128                    16.31
256                    18.17
512                    19.76
1024                   22.78
2048                   31.58
4096                   43.55
8192                   60.88
16384                 100.46
32768                 175.86
65536                 322.66
131072                621.43
262144               1216.12
524288               2413.97
1048576              5246.71
