# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      21.04
2                      21.17
4                      22.30
8                      24.95
16                     26.86
32                     28.83
64                     30.91
128                    31.43
256                    36.92
512                    53.21
1024                   77.12
2048                  106.04
4096                  158.18
8192                  253.76
16384                 614.33
32768                1131.49
65536                1366.76
131072               2303.66
262144               4513.44
524288               8964.24
1048576             16671.51
