# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                   52599.60
8                   52629.27
16                  52607.76
32                  53027.19
64                     95.08
128                    96.76
256                   101.57
512                   107.22
1024                  115.08
2048                  130.88
4096                  130.11
8192                  128.30
16384                 136.02
32768                 145.15
65536                 176.87
131072                277.40
262144                399.22
524288                426.80
1048576               522.80
