# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                     112.94
8                     107.07
16                    106.85
32                    108.64
64                     52.82
128                    53.65
256                    61.26
512                    57.70
1024                   60.27
2048                   65.81
4096                   68.73
8192                   68.43
16384                  71.39
32768                  77.57
65536                  90.01
131072                113.95
262144                170.53
524288                209.39
1048576               291.73
