
# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      10.73
8                      10.59
16                     10.60
32                     10.56
64                     10.84
128                    12.14
256                    15.77
512                    19.94
1024                   21.27
2048                   23.44
4096                   27.25
8192                   36.37
16384                  51.14
32768                  61.10
65536                  81.09
131072                118.69
262144                197.81
524288                358.64
1048576               752.06
