
# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.59
8                       2.59
16                      2.47
32                      2.46
64                      2.55
128                     2.82
256                     3.44
512                     7.07
1024                    8.48
2048                   10.42
4096                   12.62
8192                   18.31
16384                  25.67
32768                  33.16
65536                  50.46
131072                114.97
262144                147.83
524288                282.15
1048576               571.66
