# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                      29.53
2                      29.86
4                      30.05
8                      30.26
16                     30.10
32                     30.13
64                     30.52
128                    29.67
256                    29.88
512                    29.69
1024                   27.81
2048                   28.29
4096                   30.07
8192                   31.01
16384                  34.44
32768                  41.88
65536                  42.15
131072                 49.22
262144                 67.14
524288                101.04
1048576               168.86
