# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.48
2                       3.06
4                       2.82
8                       3.10
16                      3.34
32                      3.40
64                      3.60
128                     4.05
256                     5.55
512                     6.92
1024                    8.05
2048                   10.29
4096                   13.34
8192                   19.73
16384                  30.98
32768                  56.46
65536                 114.11
131072                215.84
262144                424.82
524288                821.74
1048576              1669.02
