
# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.40
2                       4.67
4                       4.67
8                       4.48
16                      5.35
32                      5.35
64                      6.13
128                     8.24
256                     7.94
512                     9.68
1024                   22.86
2048                   23.55
4096                   25.37
8192                   62.31
16384                  61.33
32768                  61.32
65536                 136.35
131072                147.59
262144                174.92
524288                237.74
1048576               352.41
