
# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.83
2                      18.64
4                      18.70
8                      19.72
16                     28.73
32                     29.16
64                     33.40
128                    33.96
256                    36.73
512                    49.09
1024                  156.57
2048                   55.12
4096                   59.81
8192                   75.63
16384                 100.30
32768                 132.43
65536                 223.30
131072                419.42
262144                899.28
524288               2068.91
1048576              4169.91
