#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      34.88
8                      32.99
16                     35.54
32                     34.74
64                     38.03
128                    43.71
256                    43.77
512                    44.26
1024                   44.33
2048                   45.21
4096                   46.30
8192                   47.86
16384                  48.96
32768                  48.17
65536                  48.34
131072                 49.35
262144                 92.80
524288                115.55
1048576               127.27
