
# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.67
2                      12.77
4                      12.51
8                      12.48
16                     13.63
32                     17.59
64                     17.60
128                    20.59
256                    21.55
512                    28.55
1024                   44.12
2048                   44.74
4096                   46.35
8192                  198.48
16384                 298.51
32768                  85.38
65536                  92.82
131072                144.10
262144                297.56
524288                716.69
1048576              1339.54
