# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.41
2                      29.58
4                      31.09
8                      41.35
16                     41.48
32                     45.31
64                     46.59
128                    49.36
256                    55.26
512                   102.12
1024                  212.45
2048                  307.48
4096                  171.82
8192                  139.45
16384                 167.49
32768                 251.02
65536                 513.32
131072               1093.69
262144               2250.11
524288               4782.94
1048576              9545.17
