#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      34.47
2                      33.46
4                      33.45
8                      33.64
16                     33.59
32                     33.55
64                     33.69
128                    33.80
256                    33.74
512                    33.90
1024                   34.40
2048                   37.28
4096                   37.93
8192                   37.71
16384                  37.91
32768                  39.18
65536                  59.12
131072                 61.47
262144                 67.96
524288                 82.85
1048576               116.08
