# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.63
8                      26.52
16                     26.34
32                     26.74
64                     26.86
128                    28.81
256                    44.23
512                    44.80
1024                   48.06
2048                   51.07
4096                   56.09
8192                   91.81
16384                 246.02
32768                 270.87
65536                 292.77
131072                296.71
262144                311.25
524288                518.41
1048576              1420.83
