
# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       5.75
8                       5.89
16                      5.70
32                      5.77
64                      6.00
128                     6.92
256                     8.24
512                    11.88
1024                   13.57
2048                   15.52
4096                   18.41
8192                   27.61
16384                  36.23
32768                  50.65
65536                  77.75
131072                 97.76
262144                172.39
524288                328.13
1048576               675.37
