# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      21.28
2                      21.26
4                      22.51
8                      25.36
16                     26.68
32                     27.43
64                     29.49
128                    29.08
256                    32.66
512                    44.02
1024                   69.51
2048                   99.05
4096                  150.53
8192                  243.43
16384                 585.94
32768                1010.87
65536                1265.32
131072               2362.90
262144               4596.70
524288               8929.08
1048576             16481.79
