# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.77
8                       2.57
16                      2.51
32                      2.52
64                      2.59
128                     2.88
256                     6.45
512                     6.93
1024                    9.29
2048                   11.28
4096                   13.37
8192                   40.85
16384                 111.05
32768                 131.11
65536                 141.14
131072                142.74
262144                151.77
524288                185.49
1048576               239.33
