# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.39
2                       3.07
4                       2.93
8                       3.12
16                      3.33
32                      3.42
64                      3.57
128                     4.05
256                     8.49
512                    12.03
1024                   15.96
2048                   20.74
4096                   27.72
8192                   45.44
16384                  45.59
32768                  49.06
65536                  55.27
131072                 68.36
262144                 95.06
524288                148.70
1048576               245.93
