
# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      10.32
2                       9.82
4                       9.86
8                      10.44
16                     13.44
32                     14.38
64                     14.83
128                    15.73
256                    17.76
512                    19.79
1024                   23.63
2048                   91.76
4096                   50.09
8192                   65.88
16384                 104.88
32768                 182.39
65536                 333.68
131072                637.92
262144               1244.38
524288               2437.62
1048576              5319.31
