# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.37
2                       4.64
4                       4.65
8                       4.43
16                      5.36
32                      5.40
64                      5.89
128                     8.49
256                     8.03
512                     9.86
1024                   22.37
2048                   24.00
4096                   25.40
8192                   61.87
16384                  66.53
32768                  65.58
65536                 168.40
131072                178.63
262144                205.93
524288                260.50
1048576               366.33
