# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      14.87
8                      14.88
16                     15.07
32                     14.85
64                     15.17
128                    16.55
256                    21.96
512                    25.98
1024                   27.49
2048                   30.92
4096                   35.21
8192                   45.04
16384                  63.24
32768                  72.59
65536                 171.82
131072                131.79
262144                212.26
524288                377.74
1048576               798.64
