# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.75
8                       2.53
16                      2.52
32                      2.53
64                      2.63
128                     2.83
256                     6.71
512                     7.03
1024                    9.64
2048                   10.82
4096                   14.28
8192                   41.04
16384                 113.88
32768                 132.39
65536                 145.04
131072                146.02
262144                154.18
524288                185.36
1048576               241.55
