# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      10.30
8                      10.34
16                     10.12
32                     10.12
64                     10.35
128                    11.62
256                    15.10
512                    18.92
1024                   20.55
2048                   22.75
4096                   26.57
8192                   36.14
16384                  50.07
32768                  58.90
65536                  78.61
131072                118.33
262144                265.59
524288                360.67
1048576               759.70
