
# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.75
2                      19.75
4                      19.60
8                      20.92
16                     29.54
32                     29.63
64                     33.63
128                    33.86
256                    36.22
512                    54.38
1024                   56.55
2048                   58.15
4096                   75.51
8192                  211.86
16384                  95.88
32768                 122.15
65536                 215.27
131072                424.81
262144               1036.56
524288               2173.58
1048576              4501.71
