# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.38
2                       2.94
4                       2.85
8                       3.04
16                      3.24
32                      3.34
64                      3.55
128                     4.03
256                     5.66
512                     6.67
1024                    8.01
2048                    9.69
4096                   13.39
8192                   18.39
16384                  30.20
32768                  56.06
65536                 112.14
131072                214.69
262144                415.09
524288                824.46
1048576              1635.22
