# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      59.46
8                      58.06
16                     57.84
32                     57.48
64                     73.91
128                    76.21
256                    83.18
512                    85.16
1024                   91.48
2048                  100.07
4096                  101.97
8192                  109.86
16384                 123.87
32768                 162.23
65536                 214.00
131072                312.13
262144                515.48
524288                873.41
1048576              1381.97
