# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     117.47
2                     116.30
4                     119.50
8                     117.16
16                    118.45
32                    131.18
64                    136.24
128                   136.68
256                   144.25
512                   163.10
1024                  176.84
2048                  187.89
4096                  224.97
8192                  382.20
16384                 486.59
32768                 710.79
65536               11884.27
