# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      30.64
2                      30.04
4                      29.79
8                      30.00
16                     30.11
32                     30.22
64                     30.43
128                    31.82
256                    34.69
512                    36.99
1024                   38.73
2048                   40.09
4096                   42.13
8192                   50.40
16384                  59.19
32768                  66.77
65536                  92.36
131072                 41.91
262144                 47.55
524288                 52.40
1048576                73.27
