# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.79
8                      29.86
16                     29.74
32                     29.58
64                     29.75
128                    30.90
256                    32.33
512                    32.52
1024                   32.71
2048                   34.59
4096                   36.01
8192                   46.24
16384                  54.03
32768                  64.87
65536                  76.02
131072                 86.79
262144                116.75
524288                181.91
1048576               303.39
