# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      30.12
2                      29.43
4                      29.26
8                      29.16
16                     29.19
32                     29.24
64                     29.50
128                    31.87
256                    32.09
512                    32.90
1024                   33.64
2048                   34.40
4096                   38.78
8192                   44.50
16384                  50.71
32768                  50.66
65536                  62.62
131072                 46.50
262144                 63.91
524288                 98.05
1048576               166.02
