# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      42.42
2                      42.30
4                      42.53
8                      42.42
16                     42.57
32                     42.37
64                     42.37
128                    42.24
256                    42.42
512                    41.99
1024                   42.20
2048                   42.05
4096                   42.36
8192                   42.76
16384                  43.27
32768                  43.31
65536                  44.13
131072                 46.44
262144                 49.73
524288                 55.87
1048576                68.63
