# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      34.22
8                      33.48
16                     33.48
32                     33.90
64                     33.68
128                    33.92
256                    34.40
512                    35.92
1024                   36.95
2048                   38.95
4096                   55.47
8192                   67.90
16384                  88.21
32768                  98.87
65536                 123.77
131072                152.40
262144                217.16
524288                366.96
1048576               685.86
