# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.12
8                      30.56
16                     30.81
32                     30.78
64                     30.82
128                    31.02
256                    35.07
512                    35.12
1024                   36.60
2048                   38.88
4096                   40.88
8192                   54.56
16384                  54.59
32768                  64.15
65536                  72.08
131072                139.93
262144                131.43
524288                215.05
1048576               390.55
